estacion,latitud,longitud,capacidad,tiempo_permanencia,hora_dia,clima,dia_semana,evento_especial,distancia_estaciones,hora_pico
Calle 100,4.685253,-74.05759,70,25.5,11,nublado,fin de semana,0,9.24,1
Portal Del Norte,4.754521,-74.046076,41,23.47,5,lluvioso,laboral,1,2.76,0
Calle 100,4.685253,-74.05759,22,29.89,22,soleado,fin de semana,0,11.9,0
Calle 26,4.615955,-74.072385,77,14.25,0,lluvioso,fin de semana,1,12.38,0
Portal El Dorado,4.681081,-74.121352,36,9.25,10,lluvioso,fin de semana,0,16.34,1
Avenida Chile,4.665855,-74.074947,22,17.76,22,nublado,laboral,1,6.5,1
Portal El Dorado,4.681081,-74.121352,33,25.17,16,soleado,laboral,1,11.77,1
Portal Del Norte,4.754521,-74.046076,82,21.59,15,soleado,fin de semana,1,18.18,0
Gobernacion,4.642477,-74.096455,47,24.67,7,nublado,laboral,1,1.93,1
Portal Del Norte,4.754521,-74.046076,37,7.18,8,nublado,fin de semana,0,2.27,1
Gobernacion,4.642477,-74.096455,93,21.37,21,lluvioso,laboral,1,9.22,0
Portal Del Norte,4.754521,-74.046076,13,27.16,19,lluvioso,fin de semana,0,15.53,0
Calle 26,4.615955,-74.072385,93,9.65,17,lluvioso,fin de semana,1,17.04,0
Calle 26,4.615955,-74.072385,81,17.61,21,lluvioso,laboral,0,4.7,1
Gobernacion,4.642477,-74.096455,82,25.4,23,nublado,fin de semana,1,6.07,0
Gobernacion,4.642477,-74.096455,67,28.07,20,lluvioso,fin de semana,1,13.67,0
Portal El Dorado,4.681081,-74.121352,48,12.33,18,soleado,fin de semana,1,17.1,0
Portal Sur,4.596921,-74.169589,73,6.76,21,nublado,laboral,0,5.16,1
Calle 100,4.685253,-74.05759,58,21.26,19,soleado,fin de semana,0,5.11,0
Gobernacion,4.642477,-74.096455,88,28.9,15,lluvioso,fin de semana,0,13.4,0
Calle 26,4.615955,-74.072385,34,16.02,21,lluvioso,laboral,0,15.77,0
Portal Del Norte,4.754521,-74.046076,56,13.91,4,soleado,laboral,1,7.69,0
Calle 26,4.615955,-74.072385,11,28.37,19,soleado,fin de semana,1,15.35,0
Avenida Chile,4.665855,-74.074947,95,26.26,22,lluvioso,laboral,0,4.09,1
Portal El Dorado,4.681081,-74.121352,81,10.72,2,lluvioso,fin de semana,1,2.91,1
Gobernacion,4.642477,-74.096455,55,22.86,23,lluvioso,fin de semana,1,9.47,0
Avenida Chile,4.665855,-74.074947,62,6.47,10,soleado,fin de semana,1,18.04,1
Avenida Chile,4.665855,-74.074947,96,14.89,22,lluvioso,fin de semana,1,2.12,0
Calle 26,4.615955,-74.072385,83,10.94,17,soleado,laboral,0,15.25,1
Calle 26,4.615955,-74.072385,31,24.22,13,lluvioso,fin de semana,1,1.62,0
Portal El Dorado,4.681081,-74.121352,54,17.19,16,soleado,fin de semana,0,15.39,0
Portal El Dorado,4.681081,-74.121352,74,28.84,22,nublado,laboral,0,4.89,0
Calle 100,4.685253,-74.05759,89,16.28,7,lluvioso,fin de semana,1,19.41,1
Portal Del Norte,4.754521,-74.046076,70,27.56,23,soleado,laboral,1,16.46,1
Gobernacion,4.642477,-74.096455,18,29.56,11,lluvioso,laboral,1,13.76,0
Gobernacion,4.642477,-74.096455,71,10.31,10,nublado,fin de semana,0,11.64,0
Calle 100,4.685253,-74.05759,88,26.71,2,lluvioso,fin de semana,0,6.22,0
Avenida Chile,4.665855,-74.074947,32,23.38,15,soleado,fin de semana,1,19.97,0
Portal Sur,4.596921,-74.169589,42,8.09,0,soleado,fin de semana,0,11.19,0
Calle 100,4.685253,-74.05759,66,13.67,17,nublado,fin de semana,1,6.54,1
Portal El Dorado,4.681081,-74.121352,87,17.93,1,nublado,laboral,1,17.5,1
Gobernacion,4.642477,-74.096455,65,11.32,1,soleado,laboral,1,9.0,0
Avenida Chile,4.665855,-74.074947,93,16.78,4,soleado,fin de semana,1,17.65,1
Gobernacion,4.642477,-74.096455,83,6.05,2,nublado,fin de semana,0,18.56,1
Calle 26,4.615955,-74.072385,96,8.28,23,lluvioso,fin de semana,1,7.94,1
Portal Sur,4.596921,-74.169589,75,25.91,11,nublado,fin de semana,1,0.9,0
Calle 100,4.685253,-74.05759,15,14.52,23,soleado,fin de semana,0,5.96,0
Calle 26,4.615955,-74.072385,51,24.67,6,lluvioso,fin de semana,1,9.0,1
Calle 100,4.685253,-74.05759,40,19.27,9,nublado,laboral,0,11.93,0
Portal Sur,4.596921,-74.169589,88,22.87,14,soleado,laboral,0,0.63,1
Portal Sur,4.596921,-74.169589,56,22.35,11,soleado,fin de semana,0,16.75,1
Portal Sur,4.596921,-74.169589,32,12.09,4,nublado,fin de semana,1,3.51,0
Calle 26,4.615955,-74.072385,30,19.29,12,soleado,laboral,1,7.05,0
Portal Del Norte,4.754521,-74.046076,32,25.42,2,nublado,laboral,1,3.43,0
Portal Del Norte,4.754521,-74.046076,11,29.95,15,nublado,laboral,0,5.16,1
Avenida Chile,4.665855,-74.074947,57,8.95,1,soleado,fin de semana,0,2.1,0
Portal Del Norte,4.754521,-74.046076,16,13.23,15,nublado,laboral,0,4.1,0
Portal Sur,4.596921,-74.169589,34,12.03,22,soleado,laboral,0,5.44,0
Avenida Chile,4.665855,-74.074947,75,23.6,16,lluvioso,fin de semana,0,6.42,1
Gobernacion,4.642477,-74.096455,76,19.16,15,lluvioso,fin de semana,1,4.14,0
Portal Sur,4.596921,-74.169589,65,28.45,4,lluvioso,fin de semana,0,8.0,1
Calle 26,4.615955,-74.072385,93,14.17,23,lluvioso,fin de semana,1,7.42,0
Gobernacion,4.642477,-74.096455,78,21.8,12,soleado,laboral,1,13.78,0
Avenida Chile,4.665855,-74.074947,49,21.38,8,soleado,fin de semana,0,19.53,0
Avenida Chile,4.665855,-74.074947,21,6.35,21,soleado,fin de semana,0,10.3,1
Portal Sur,4.596921,-74.169589,64,10.81,13,lluvioso,laboral,1,10.04,1
Portal El Dorado,4.681081,-74.121352,20,18.12,11,soleado,laboral,1,11.28,0
Calle 100,4.685253,-74.05759,88,8.02,3,soleado,fin de semana,0,0.96,1
Portal Del Norte,4.754521,-74.046076,57,13.65,19,lluvioso,laboral,0,6.5,0
Portal Del Norte,4.754521,-74.046076,34,12.96,2,lluvioso,fin de semana,0,14.85,1
Gobernacion,4.642477,-74.096455,63,29.06,8,lluvioso,laboral,0,8.33,0
Portal El Dorado,4.681081,-74.121352,67,17.76,6,nublado,laboral,0,17.37,1
Portal El Dorado,4.681081,-74.121352,97,9.66,13,soleado,laboral,0,19.25,1
Portal Sur,4.596921,-74.169589,20,11.22,9,soleado,fin de semana,0,12.16,1
Portal Del Norte,4.754521,-74.046076,40,15.86,19,nublado,fin de semana,1,4.92,0
Calle 26,4.615955,-74.072385,14,12.89,5,lluvioso,laboral,1,8.63,0
Portal El Dorado,4.681081,-74.121352,22,8.65,2,soleado,fin de semana,0,11.6,0
Calle 26,4.615955,-74.072385,96,18.4,5,soleado,fin de semana,0,6.25,1
Calle 26,4.615955,-74.072385,40,10.6,9,nublado,laboral,0,4.8,0
Calle 26,4.615955,-74.072385,85,11.79,17,lluvioso,laboral,1,0.63,0
Portal El Dorado,4.681081,-74.121352,75,24.61,14,nublado,fin de semana,0,0.78,1
Portal Del Norte,4.754521,-74.046076,47,9.66,6,soleado,fin de semana,1,10.67,1
Portal Sur,4.596921,-74.169589,36,7.02,17,soleado,laboral,0,13.52,0
Calle 100,4.685253,-74.05759,48,23.45,5,nublado,fin de semana,0,14.46,0
Calle 26,4.615955,-74.072385,12,28.18,13,soleado,fin de semana,0,14.05,0
Calle 100,4.685253,-74.05759,44,24.45,8,lluvioso,fin de semana,1,11.93,0
Portal El Dorado,4.681081,-74.121352,77,7.47,22,nublado,fin de semana,0,17.71,1
Avenida Chile,4.665855,-74.074947,16,19.77,13,soleado,laboral,1,19.17,0
Calle 26,4.615955,-74.072385,62,19.13,23,soleado,fin de semana,0,9.37,0
Gobernacion,4.642477,-74.096455,15,19.74,5,soleado,fin de semana,1,5.38,0
Gobernacion,4.642477,-74.096455,44,14.36,14,lluvioso,laboral,1,19.38,1
Calle 100,4.685253,-74.05759,25,23.49,20,soleado,laboral,1,13.91,0
Portal Sur,4.596921,-74.169589,97,26.52,22,lluvioso,fin de semana,0,5.37,1
Calle 100,4.685253,-74.05759,72,14.77,6,soleado,laboral,1,15.44,1
Portal Del Norte,4.754521,-74.046076,97,24.21,11,nublado,laboral,0,17.85,0
Portal Del Norte,4.754521,-74.046076,41,8.14,1,nublado,fin de semana,0,17.87,1
Calle 26,4.615955,-74.072385,29,10.01,23,lluvioso,laboral,1,5.73,1
Gobernacion,4.642477,-74.096455,24,27.56,21,lluvioso,laboral,0,17.64,0
Portal Sur,4.596921,-74.169589,47,8.88,0,nublado,fin de semana,0,7.52,1
Portal Del Norte,4.754521,-74.046076,87,8.26,10,nublado,laboral,0,17.64,1
Gobernacion,4.642477,-74.096455,61,22.06,20,soleado,laboral,1,7.04,0
Calle 26,4.615955,-74.072385,62,27.72,17,nublado,fin de semana,1,14.32,1
Portal Del Norte,4.754521,-74.046076,14,15.62,4,nublado,laboral,0,17.55,1
Portal Del Norte,4.754521,-74.046076,94,13.91,14,nublado,laboral,0,1.08,1
Portal Sur,4.596921,-74.169589,39,20.68,11,nublado,fin de semana,0,6.56,1
Portal Del Norte,4.754521,-74.046076,77,15.97,16,soleado,fin de semana,1,1.83,1
Avenida Chile,4.665855,-74.074947,10,17.77,3,nublado,fin de semana,0,2.81,1
Gobernacion,4.642477,-74.096455,68,9.9,19,lluvioso,fin de semana,1,6.61,1
Gobernacion,4.642477,-74.096455,13,25.4,2,nublado,fin de semana,1,17.45,1
Avenida Chile,4.665855,-74.074947,60,10.64,6,lluvioso,laboral,0,4.48,0
Calle 100,4.685253,-74.05759,20,11.15,4,nublado,laboral,0,17.64,0
Calle 100,4.685253,-74.05759,88,28.6,13,lluvioso,laboral,0,16.4,1
Gobernacion,4.642477,-74.096455,95,14.2,13,lluvioso,fin de semana,0,9.57,1
Portal El Dorado,4.681081,-74.121352,91,12.98,15,soleado,laboral,1,0.9,1
Portal El Dorado,4.681081,-74.121352,14,13.31,5,nublado,laboral,0,12.12,0
Gobernacion,4.642477,-74.096455,25,16.71,7,soleado,laboral,1,12.86,1
Portal El Dorado,4.681081,-74.121352,95,14.0,5,nublado,laboral,0,13.78,1
Portal Sur,4.596921,-74.169589,53,26.89,9,nublado,laboral,1,2.1,0
Portal El Dorado,4.681081,-74.121352,82,21.35,1,lluvioso,fin de semana,1,12.38,1
Portal Sur,4.596921,-74.169589,30,24.9,14,lluvioso,fin de semana,1,16.4,0
Portal El Dorado,4.681081,-74.121352,88,24.81,17,lluvioso,fin de semana,0,18.98,0
Calle 26,4.615955,-74.072385,44,8.38,14,lluvioso,fin de semana,1,14.23,1
Portal El Dorado,4.681081,-74.121352,61,10.58,19,nublado,fin de semana,1,0.75,0
Portal El Dorado,4.681081,-74.121352,99,26.28,20,nublado,fin de semana,0,6.91,1
Portal El Dorado,4.681081,-74.121352,84,14.82,18,nublado,laboral,0,8.28,0
Portal Sur,4.596921,-74.169589,67,10.87,10,soleado,laboral,0,16.91,0
Portal Del Norte,4.754521,-74.046076,39,8.03,18,nublado,laboral,0,1.53,1
Gobernacion,4.642477,-74.096455,99,27.72,7,lluvioso,fin de semana,1,19.97,1
Calle 26,4.615955,-74.072385,57,6.39,21,lluvioso,laboral,1,9.08,1
Calle 26,4.615955,-74.072385,74,28.51,8,lluvioso,laboral,1,19.06,1
Portal Del Norte,4.754521,-74.046076,39,8.42,18,nublado,laboral,1,1.28,1
Calle 26,4.615955,-74.072385,56,17.76,10,nublado,fin de semana,1,5.44,0
Portal Sur,4.596921,-74.169589,92,15.73,21,nublado,fin de semana,0,6.09,0
Calle 26,4.615955,-74.072385,45,20.68,10,soleado,fin de semana,1,19.3,0
Calle 26,4.615955,-74.072385,15,29.68,21,soleado,laboral,0,10.45,0
Calle 26,4.615955,-74.072385,44,9.64,8,nublado,laboral,1,0.94,0
Gobernacion,4.642477,-74.096455,16,29.23,21,soleado,fin de semana,1,15.52,1
Avenida Chile,4.665855,-74.074947,18,18.31,11,soleado,laboral,0,5.7,0
Portal Sur,4.596921,-74.169589,35,18.46,16,nublado,laboral,1,3.43,0
Portal Sur,4.596921,-74.169589,98,16.18,16,soleado,laboral,0,7.02,0
Gobernacion,4.642477,-74.096455,18,28.4,4,soleado,fin de semana,0,1.2,0
Portal Del Norte,4.754521,-74.046076,48,13.88,19,nublado,fin de semana,0,15.35,1
Gobernacion,4.642477,-74.096455,34,19.23,7,soleado,laboral,0,19.96,0
Avenida Chile,4.665855,-74.074947,38,10.01,5,nublado,laboral,0,17.99,1
Calle 26,4.615955,-74.072385,71,6.27,20,soleado,laboral,1,3.13,1
Calle 26,4.615955,-74.072385,67,22.69,1,lluvioso,fin de semana,0,11.6,0
Portal Sur,4.596921,-74.169589,35,23.2,17,soleado,laboral,0,14.12,0
Portal Sur,4.596921,-74.169589,79,7.13,14,soleado,laboral,0,7.4,1
Portal El Dorado,4.681081,-74.121352,47,28.83,9,lluvioso,laboral,1,17.13,0
Avenida Chile,4.665855,-74.074947,72,28.47,9,nublado,fin de semana,1,9.32,1
Portal Sur,4.596921,-74.169589,33,28.56,17,lluvioso,fin de semana,1,4.89,1
Calle 26,4.615955,-74.072385,52,13.54,14,lluvioso,laboral,1,5.69,1
Calle 100,4.685253,-74.05759,48,27.16,15,lluvioso,fin de semana,1,16.35,0
Calle 26,4.615955,-74.072385,91,29.9,8,soleado,fin de semana,1,7.13,0
Calle 26,4.615955,-74.072385,99,14.14,13,soleado,laboral,1,16.46,0
Calle 26,4.615955,-74.072385,12,28.35,11,nublado,laboral,0,7.04,0
Portal El Dorado,4.681081,-74.121352,35,7.94,17,soleado,laboral,0,15.29,0
Calle 26,4.615955,-74.072385,92,29.77,8,lluvioso,laboral,0,8.07,1
Calle 100,4.685253,-74.05759,93,23.02,20,lluvioso,laboral,1,6.78,0
Portal Del Norte,4.754521,-74.046076,73,16.98,16,nublado,laboral,1,12.83,1
Gobernacion,4.642477,-74.096455,21,13.6,14,soleado,fin de semana,1,9.44,0
Portal Del Norte,4.754521,-74.046076,50,23.39,1,lluvioso,fin de semana,0,2.79,0
Portal El Dorado,4.681081,-74.121352,23,23.52,5,lluvioso,fin de semana,0,2.86,1
Avenida Chile,4.665855,-74.074947,73,20.64,5,soleado,laboral,1,18.2,1
Portal El Dorado,4.681081,-74.121352,49,18.12,0,lluvioso,laboral,0,6.77,0
Gobernacion,4.642477,-74.096455,80,13.25,10,soleado,laboral,0,11.93,0
Portal Sur,4.596921,-74.169589,34,5.49,5,lluvioso,laboral,1,12.94,0
Portal Del Norte,4.754521,-74.046076,13,27.82,0,soleado,laboral,1,9.41,0
Calle 26,4.615955,-74.072385,15,5.19,15,nublado,laboral,1,15.52,1
Portal Del Norte,4.754521,-74.046076,94,19.03,23,soleado,fin de semana,0,15.57,1
Calle 100,4.685253,-74.05759,19,29.85,10,soleado,laboral,1,7.14,0
Avenida Chile,4.665855,-74.074947,72,8.26,0,nublado,laboral,0,15.48,0
Calle 100,4.685253,-74.05759,80,17.1,0,nublado,fin de semana,0,14.98,1
Avenida Chile,4.665855,-74.074947,36,16.11,5,nublado,laboral,0,2.42,0
Portal Del Norte,4.754521,-74.046076,30,27.16,3,soleado,fin de semana,1,1.69,0
Avenida Chile,4.665855,-74.074947,60,7.02,19,soleado,laboral,1,3.75,1
Portal Sur,4.596921,-74.169589,88,13.92,13,nublado,laboral,1,17.13,1
Calle 100,4.685253,-74.05759,37,7.01,2,soleado,fin de semana,0,7.99,1
Calle 26,4.615955,-74.072385,94,13.86,19,nublado,laboral,0,7.4,1
Calle 26,4.615955,-74.072385,18,11.92,13,nublado,fin de semana,0,13.03,1
Gobernacion,4.642477,-74.096455,28,11.67,23,lluvioso,laboral,0,3.79,0
Calle 26,4.615955,-74.072385,90,10.21,0,lluvioso,laboral,1,13.22,1
Gobernacion,4.642477,-74.096455,46,9.01,2,soleado,fin de semana,1,2.52,0
Portal Del Norte,4.754521,-74.046076,43,15.34,14,soleado,fin de semana,0,7.13,0
Portal El Dorado,4.681081,-74.121352,77,8.03,13,nublado,laboral,0,19.72,1
Gobernacion,4.642477,-74.096455,50,20.16,5,soleado,laboral,0,14.98,0
Calle 26,4.615955,-74.072385,83,22.83,18,lluvioso,fin de semana,0,12.08,0
Calle 100,4.685253,-74.05759,82,7.78,13,lluvioso,fin de semana,0,13.47,0
Portal Sur,4.596921,-74.169589,27,8.65,4,lluvioso,fin de semana,1,15.39,1
Calle 100,4.685253,-74.05759,58,25.77,21,soleado,laboral,0,14.58,0
Avenida Chile,4.665855,-74.074947,10,9.81,22,soleado,fin de semana,1,3.99,1
Gobernacion,4.642477,-74.096455,35,12.62,13,soleado,laboral,0,4.33,1
Gobernacion,4.642477,-74.096455,23,8.37,22,soleado,fin de semana,1,10.1,1
Avenida Chile,4.665855,-74.074947,11,19.02,13,soleado,fin de semana,1,13.4,0
Calle 100,4.685253,-74.05759,17,26.56,5,soleado,fin de semana,0,18.96,0
Avenida Chile,4.665855,-74.074947,48,24.23,5,nublado,fin de semana,0,5.33,1
Gobernacion,4.642477,-74.096455,32,17.42,15,nublado,laboral,0,2.26,1
Portal El Dorado,4.681081,-74.121352,39,18.15,5,lluvioso,fin de semana,0,1.08,1
Avenida Chile,4.665855,-74.074947,37,23.14,15,soleado,laboral,0,6.56,0
Calle 26,4.615955,-74.072385,46,29.39,17,lluvioso,fin de semana,1,19.64,1
Avenida Chile,4.665855,-74.074947,59,6.9,9,nublado,fin de semana,1,10.67,1
Portal Sur,4.596921,-74.169589,45,20.9,12,soleado,fin de semana,1,3.27,0
Portal Del Norte,4.754521,-74.046076,79,23.59,3,soleado,laboral,0,6.9,0
Calle 26,4.615955,-74.072385,47,24.61,3,soleado,laboral,1,11.33,0
Calle 100,4.685253,-74.05759,86,19.92,9,lluvioso,fin de semana,0,7.89,0
Calle 26,4.615955,-74.072385,67,20.91,10,nublado,fin de semana,0,17.26,1
Calle 100,4.685253,-74.05759,65,14.03,22,lluvioso,laboral,1,8.15,1
Gobernacion,4.642477,-74.096455,48,26.27,7,lluvioso,laboral,0,7.42,0
Portal El Dorado,4.681081,-74.121352,24,10.72,8,nublado,laboral,0,7.52,0
Portal Del Norte,4.754521,-74.046076,26,19.53,3,soleado,laboral,1,4.93,0
Portal El Dorado,4.681081,-74.121352,46,12.49,8,soleado,laboral,0,9.9,1
Gobernacion,4.642477,-74.096455,81,20.34,15,nublado,laboral,1,12.0,0
Calle 100,4.685253,-74.05759,68,9.09,17,nublado,fin de semana,1,3.39,0
Gobernacion,4.642477,-74.096455,16,21.34,7,soleado,fin de semana,0,18.98,1
Portal El Dorado,4.681081,-74.121352,67,22.29,22,lluvioso,fin de semana,0,4.97,1
Gobernacion,4.642477,-74.096455,71,19.92,22,lluvioso,laboral,0,1.72,1
Gobernacion,4.642477,-74.096455,93,28.65,4,soleado,laboral,1,13.29,0
Calle 26,4.615955,-74.072385,53,13.89,14,nublado,fin de semana,1,17.3,0
Calle 100,4.685253,-74.05759,31,23.53,16,lluvioso,fin de semana,1,6.78,1
Avenida Chile,4.665855,-74.074947,61,8.77,18,soleado,fin de semana,0,7.07,0
Calle 26,4.615955,-74.072385,54,17.69,9,nublado,fin de semana,0,3.04,0
Portal El Dorado,4.681081,-74.121352,82,17.8,2,lluvioso,fin de semana,0,10.74,1
Calle 100,4.685253,-74.05759,43,26.55,14,soleado,fin de semana,0,14.78,1
Calle 100,4.685253,-74.05759,84,11.09,15,soleado,fin de semana,0,4.77,1
Gobernacion,4.642477,-74.096455,45,22.21,18,soleado,fin de semana,0,8.96,0
Calle 26,4.615955,-74.072385,23,15.5,14,lluvioso,laboral,0,16.87,0
Calle 26,4.615955,-74.072385,82,11.4,22,lluvioso,laboral,1,16.51,1
Portal El Dorado,4.681081,-74.121352,74,20.84,15,soleado,laboral,1,12.77,0
Calle 100,4.685253,-74.05759,28,8.67,7,nublado,laboral,1,8.19,1
Gobernacion,4.642477,-74.096455,17,14.02,3,soleado,fin de semana,1,10.24,1
Portal Sur,4.596921,-74.169589,10,13.6,9,nublado,fin de semana,0,13.82,0
Avenida Chile,4.665855,-74.074947,34,20.22,1,nublado,fin de semana,0,1.26,1
Gobernacion,4.642477,-74.096455,18,6.47,2,lluvioso,fin de semana,0,17.71,1
Portal El Dorado,4.681081,-74.121352,52,7.32,10,nublado,laboral,1,6.78,0
Portal El Dorado,4.681081,-74.121352,11,27.44,3,soleado,laboral,1,16.12,0
Portal Del Norte,4.754521,-74.046076,85,12.16,5,lluvioso,laboral,0,14.16,0
Gobernacion,4.642477,-74.096455,80,27.43,18,soleado,laboral,1,16.61,0
Gobernacion,4.642477,-74.096455,58,15.27,22,nublado,fin de semana,0,17.16,0
Avenida Chile,4.665855,-74.074947,92,5.52,19,soleado,laboral,1,14.96,0
Portal El Dorado,4.681081,-74.121352,89,6.14,17,lluvioso,fin de semana,1,7.73,1
Portal Sur,4.596921,-74.169589,69,24.27,10,lluvioso,laboral,0,9.53,1
Avenida Chile,4.665855,-74.074947,36,12.19,18,nublado,laboral,0,5.93,1
Avenida Chile,4.665855,-74.074947,95,9.36,15,lluvioso,laboral,1,12.83,1
Avenida Chile,4.665855,-74.074947,80,17.41,18,soleado,laboral,1,2.76,0
Portal Del Norte,4.754521,-74.046076,14,21.74,13,lluvioso,fin de semana,1,0.63,1
Calle 26,4.615955,-74.072385,14,14.85,23,lluvioso,laboral,0,9.97,0
Calle 100,4.685253,-74.05759,13,24.41,23,soleado,fin de semana,1,2.68,0
Calle 26,4.615955,-74.072385,100,15.21,13,lluvioso,fin de semana,1,16.31,0
Portal Sur,4.596921,-74.169589,50,11.12,0,nublado,fin de semana,1,8.19,1
Portal Del Norte,4.754521,-74.046076,69,5.16,12,soleado,laboral,0,8.33,1
